H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
72,2024-09-23,ph,0.083,0.0716,0.0576,0.0582,0.0625,0.0079
72,2024-09-23,od,0.0512,0.0928,0.2433,0.1241,0.1534,0.0794
72,2024-09-24,ph,0.0628,0.0427,0.0293,0.0432,0.0384,0.0079
72,2024-09-24,od,0.0828,0.1945,0.1002,0.0565,0.1171,0.0705
72,2024-11-20,ph,0.0186,0.025,0.0195,0.0248,0.0231,0.0031
72,2024-11-20,od,0.1188,0.2674,0.1238,0.0978,0.163,0.0913
72,2024-12-13,ph,0.0311,0.0227,0.0145,0.0301,0.0224,0.0078
72,2024-12-13,od,0.1474,0.1093,0.1594,0.1467,0.1385,0.0261
72,2024-12-14,ph,0.0412,0.016,0.037,0.0191,0.024,0.0113
72,2024-12-14,od,0.2881,0.23,0.1534,0.1654,0.1829,0.0412
72,2024-12-15,ph,0.0714,0.0273,0.023,0.0357,0.0286,0.0065
72,2024-12-15,od,0.2217,0.1872,0.3789,0.2569,0.2743,0.097
72,2024-12-16,ph,0.025,0.0199,0.0207,0.0181,0.0196,0.0014
72,2024-12-16,od,0.1979,0.097,0.0484,0.051,0.0655,0.0274
72,2024-12-17,ph,0.0257,0.0246,0.0212,0.0325,0.0261,0.0058
72,2024-12-17,od,0.1207,0.1576,0.2177,0.2404,0.2052,0.0428
72,2024-12-18,ph,0.0269,0.0207,0.0221,0.0235,0.0221,0.0014
72,2024-12-18,od,0.2354,0.1627,0.1146,0.0645,0.1139,0.0491
72,2024-12-19,ph,0.0293,0.027,0.0241,0.031,0.0274,0.0035
72,2024-12-19,od,0.0593,0.1375,0.0757,0.0718,0.095,0.0368
72,2024-12-20,ph,0.0367,0.041,0.0368,0.0472,0.0417,0.0052
72,2024-12-20,od,0.3225,0.3006,0.2115,0.1664,0.2261,0.0683
72,2024-12-21,ph,0.1517,0.0598,0.0777,0.0803,0.0726,0.0112
72,2024-12-21,od,1.0404,0.4357,0.4398,0.3594,0.4116,0.0453
72,2024-12-22,ph,0.0411,0.0346,0.0387,0.0345,0.0359,0.0024
72,2024-12-22,od,0.319,0.1951,0.2253,0.3427,0.2543,0.078
288,2022-07-20,ph,0.0227,0.0233,0.0229,0.0191,0.0218,0.0023
288,2022-07-20,od,0.0899,0.0583,0.1571,0.0655,0.0936,0.0551
288,2022-07-21,ph,0.0231,0.0231,0.0311,0.0209,0.0251,0.0054
288,2022-07-21,od,0.0594,0.1125,0.051,0.0867,0.0834,0.0309
288,2022-07-22,ph,0.0252,0.0218,0.0209,0.0207,0.0211,0.0006
288,2022-07-22,od,0.2433,0.1225,0.0616,0.1019,0.0953,0.031
288,2022-07-23,ph,0.0294,0.0263,0.028,0.0269,0.0271,0.0008
288,2022-07-23,od,0.1477,0.0842,0.055,0.0792,0.0728,0.0156
288,2022-07-24,ph,0.026,0.0219,0.0245,0.0288,0.0251,0.0035
288,2022-07-24,od,0.0566,0.0894,0.0545,0.0801,0.0747,0.0181
288,2022-07-25,ph,0.029,0.0278,0.0249,0.0208,0.0245,0.0035
288,2022-07-25,od,0.0919,0.1636,0.126,0.1564,0.1487,0.02
288,2022-07-26,ph,0.0246,0.019,0.0204,0.0213,0.0203,0.0012
288,2022-07-26,od,0.0973,0.0488,0.0491,0.0403,0.0461,0.005
288,2022-07-27,ph,0.0297,0.0238,0.0229,0.0226,0.0231,0.0006
288,2022-07-27,od,0.1574,0.0874,0.1469,0.0986,0.111,0.0316
288,2022-07-28,ph,0.2538,0.2548,0.2576,0.2465,0.253,0.0058
288,2022-07-28,od,0.1791,0.0836,0.1236,0.101,0.1027,0.0201
288,2022-07-29,ph,0.2024,0.0406,0.0283,0.025,0.0313,0.0082
288,2022-07-29,od,0.2647,0.1137,0.1922,0.1145,0.1401,0.0451
288,2023-01-18,ph,0.0517,0.0357,0.037,0.0388,0.0372,0.0015
288,2023-01-18,od,0.072,0.0704,0.0768,0.122,0.0897,0.0281
288,2023-01-19,ph,0.0271,0.0301,0.0256,0.024,0.0266,0.0032
288,2023-01-19,od,0.0347,0.0725,0.0592,0.0689,0.0669,0.0069
288,2023-01-20,ph,0.0475,0.0265,0.0212,0.0232,0.0236,0.0027
288,2023-01-20,od,0.0825,0.0969,0.0698,0.1378,0.1015,0.0342
288,2023-01-21,ph,0.038,0.0239,0.0225,0.0249,0.0237,0.0012
288,2023-01-21,od,0.1225,0.0819,0.0999,0.0858,0.0892,0.0095
288,2023-01-22,ph,0.021,0.012,0.0106,0.0098,0.0108,0.0011
288,2023-01-22,od,0.0309,0.0834,0.1211,0.1078,0.1041,0.0191
288,2023-01-23,ph,0.0183,0.0195,0.0162,0.0177,0.0178,0.0017
288,2023-01-23,od,0.0935,0.0709,0.0689,0.0777,0.0725,0.0046
288,2023-01-24,ph,0.0347,0.029,0.0202,0.0221,0.0238,0.0046
288,2023-01-24,od,0.063,0.061,0.0589,0.0663,0.062,0.0038
288,2023-01-25,ph,0.0132,0.0145,0.0127,0.0136,0.0136,0.0009
288,2023-01-25,od,0.091,0.1789,0.1184,0.1689,0.1554,0.0324
288,2023-01-26,ph,0.0203,0.0159,0.0201,0.0146,0.0168,0.0029
288,2023-01-26,od,0.072,0.1843,0.1585,0.1499,0.1642,0.0179
288,2023-01-27,ph,0.0158,0.0159,0.017,0.0156,0.0162,0.0007
288,2023-01-27,od,0.0386,0.171,0.1351,0.1387,0.1483,0.0197
288,2024-04-19,ph,0.0262,0.0208,0.0189,0.0207,0.0202,0.0011
288,2024-04-19,od,0.3019,0.2474,0.2436,0.2321,0.2411,0.008
288,2024-04-20,ph,0.0623,0.0394,0.0381,0.0403,0.0393,0.0011
288,2024-04-20,od,0.2474,0.0516,0.0576,0.047,0.0521,0.0053
288,2024-04-21,ph,0.0226,0.0165,0.0217,0.018,0.0188,0.0027
288,2024-04-21,od,0.0525,0.0745,0.0492,0.1333,0.0857,0.0432
288,2024-04-22,ph,0.0238,0.0162,0.0189,0.0184,0.0179,0.0014
288,2024-04-22,od,0.0403,0.0698,0.078,0.0481,0.0653,0.0154
288,2024-04-23,ph,0.0327,0.0296,0.0343,0.0368,0.0336,0.0037
288,2024-04-23,od,0.0287,0.0895,0.0856,0.0961,0.0904,0.0053
288,2024-04-24,ph,0.024,0.0247,0.0287,0.0248,0.026,0.0023
288,2024-04-24,od,0.0421,0.1068,0.0617,0.0701,0.0796,0.024
288,2024-04-25,ph,0.0255,0.0292,0.0265,0.0208,0.0255,0.0043
288,2024-04-25,od,0.178,0.2412,0.2044,0.2219,0.2225,0.0184
288,2024-04-26,ph,0.0263,0.0207,0.019,0.0184,0.0194,0.0012
288,2024-04-26,od,0.2024,0.1551,0.1086,0.1419,0.1352,0.024
288,2024-04-27,ph,0.018,0.0149,0.0142,0.0168,0.0153,0.0013
288,2024-04-27,od,0.0495,0.0862,0.0478,0.0638,0.0659,0.0193
288,2024-04-28,ph,0.0207,0.0188,0.0195,0.0182,0.0188,0.0006
288,2024-04-28,od,0.0424,0.0439,0.0497,0.0434,0.0456,0.0035
288,2024-07-20,ph,0.0224,0.0235,0.0244,0.0183,0.0221,0.0033
288,2024-07-20,od,0.1723,0.2825,0.2761,0.2702,0.2763,0.0061
288,2024-07-21,ph,0.0392,0.0235,0.0301,0.0178,0.0238,0.0062
288,2024-07-21,od,0.2109,0.0888,0.1266,0.1171,0.1108,0.0197
288,2024-07-22,ph,0.0733,0.0626,0.0586,0.0677,0.063,0.0046
288,2024-07-22,od,0.1255,0.0868,0.1133,0.0834,0.0945,0.0164
288,2024-07-23,ph,0.0951,0.0436,0.0371,0.0284,0.0364,0.0077
288,2024-07-23,od,0.1972,0.4711,0.3064,0.4048,0.3941,0.0829
288,2024-07-24,ph,0.0181,0.0336,0.033,0.0403,0.0356,0.004
288,2024-07-24,od,0.1232,0.1018,0.1444,0.1413,0.1292,0.0237
288,2024-07-25,ph,0.0213,0.0206,0.0214,0.0246,0.0222,0.0021
288,2024-07-25,od,0.0627,0.1092,0.1134,0.1383,0.1203,0.0157
288,2024-07-26,ph,0.0338,0.0185,0.0238,0.0254,0.0226,0.0036
288,2024-07-26,od,0.1184,0.3224,0.196,0.3099,0.2761,0.0697
288,2024-07-27,ph,0.0303,0.0295,0.0346,0.037,0.0337,0.0038
288,2024-07-27,od,0.0989,0.1724,0.1023,0.146,0.1402,0.0354
288,2024-07-28,ph,0.0368,0.0305,0.0316,0.0514,0.0378,0.0118
288,2024-07-28,od,0.1378,0.1232,0.1609,0.1247,0.1363,0.0214
288,2024-07-29,ph,0.0223,0.0261,0.0255,0.0386,0.0301,0.0074
288,2024-07-29,od,0.0839,0.0662,0.0705,0.0728,0.0698,0.0033
288,2024-09-15,ph,0.0863,0.0815,0.0732,0.078,0.0776,0.0042
288,2024-09-15,od,0.2503,0.2188,0.3371,0.2358,0.2639,0.064
288,2024-09-16,ph,0.0575,0.0508,0.051,0.0512,0.051,0.0002
288,2024-09-16,od,0.0865,0.2148,0.3065,0.2943,0.2719,0.0498
288,2024-09-17,ph,0.0737,0.0463,0.0694,0.0613,0.059,0.0117
288,2024-09-17,od,0.4317,0.4096,0.3405,0.4232,0.3911,0.0444
288,2024-09-18,ph,0.0687,0.067,0.0485,0.0539,0.0564,0.0095
288,2024-09-18,od,0.1765,0.1846,0.1935,0.1657,0.1812,0.0142
288,2024-09-19,ph,0.0693,0.1074,0.0858,0.0803,0.0912,0.0143
288,2024-09-19,od,0.1365,0.1343,0.2337,0.134,0.1673,0.0575
