H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
288,2024-07-22,ph,0.0733,0.0581,0.0605,0.0616,0.0601,0.0018
288,2024-07-22,od,0.1255,0.0751,0.1062,0.1055,0.0956,0.0177
288,2024-07-23,ph,0.0951,0.0329,0.033,0.0304,0.0321,0.0015
288,2024-07-23,od,0.1972,0.5307,0.45,0.437,0.4725,0.0508
288,2024-07-24,ph,0.0181,0.031,0.0311,0.0253,0.0291,0.0033
288,2024-07-24,od,0.1232,0.1657,0.133,0.1453,0.148,0.0165
288,2024-07-25,ph,0.0213,0.02,0.0214,0.0165,0.0193,0.0025
288,2024-07-25,od,0.0627,0.1275,0.1228,0.1497,0.1334,0.0144
288,2024-07-26,ph,0.0338,0.0228,0.0268,0.0247,0.0248,0.002
288,2024-07-26,od,0.1184,0.1912,0.1483,0.1755,0.1717,0.0217
288,2024-07-27,ph,0.0303,0.0311,0.0342,0.0307,0.032,0.002
288,2024-07-27,od,0.0989,0.0827,0.1517,0.1382,0.1242,0.0365
288,2024-07-28,ph,0.0368,0.0374,0.0245,0.0286,0.0302,0.0066
288,2024-07-28,od,0.1378,0.0676,0.0895,0.0824,0.0798,0.0112
288,2024-07-29,ph,0.0223,0.0266,0.0216,0.0229,0.0237,0.0026
288,2024-07-29,od,0.0839,0.0783,0.0806,0.0814,0.0801,0.0016
288,2024-09-15,ph,0.0863,0.0618,0.0633,0.0647,0.0633,0.0014
288,2024-09-15,od,0.2503,0.1999,0.2456,0.2593,0.2349,0.0311
288,2024-09-16,ph,0.0575,0.0542,0.0501,0.0522,0.0522,0.0021
288,2024-09-16,od,0.0865,0.344,0.2702,0.3245,0.3129,0.0383
288,2024-09-17,ph,0.0737,0.0427,0.0421,0.0454,0.0434,0.0017
288,2024-09-17,od,0.4317,0.2036,0.3076,0.1939,0.235,0.0631
288,2024-09-18,ph,0.0687,0.0521,0.0483,0.0454,0.0486,0.0033
288,2024-09-18,od,0.1765,0.1755,0.1273,0.1348,0.1459,0.026
288,2024-09-19,ph,0.0693,0.0588,0.0653,0.0528,0.059,0.0062
288,2024-09-19,od,0.1365,0.1223,0.1055,0.1031,0.1103,0.0105
